machine_type,session_id,scenario,timestamp,step,pressure,flow_rate,vibration,state
pump,pump-0000,failure,2026-01-01T00:01:13+00:00,73,3.9955,86.8867,2.212,DEGRADATION
pump,pump-0000,failure,2026-01-01T00:01:14+00:00,74,3.9931,85.1772,2.3899,DEGRADATION
pump,pump-0000,failure,2026-01-01T00:01:15+00:00,75,3.9769,82.8748,2.3975,DEGRADATION
pump,pump-0000,failure,2026-01-01T00:01:16+00:00,76,3.8431,80.4472,2.5909,DEGRADATION
pump,pump-0000,failure,2026-01-01T00:01:17+00:00,77,3.891,81.4854,2.5216,DEGRADATION
pump,pump-0000,failure,2026-01-01T00:01:18+00:00,78,3.8949,83.4803,2.3558,DEGRADATION
pump,pump-0000,failure,2026-01-01T00:01:19+00:00,79,3.8393,85.6839,2.1042,DEGRADATION
pump,pump-0000,failure,2026-01-01T00:01:20+00:00,80,3.5994,84.408,2.1974,DEGRADATION
pump,pump-0000,failure,2026-01-01T00:01:21+00:00,81,3.614,83.0646,2.522,DEGRADATION
pump,pump-0000,failure,2026-01-01T00:01:22+00:00,82,3.6627,78.7528,2.6356,DEGRADATION
pump,pump-0000,failure,2026-01-01T00:01:23+00:00,83,3.6827,79.1811,2.448,DEGRADATION
pump,pump-0000,failure,2026-01-01T00:01:24+00:00,84,3.8845,76.9114,2.212,DEGRADATION
pump,pump-0000,failure,2026-01-01T00:01:25+00:00,85,3.8442,72.3333,2.2499,DEGRADATION
pump,pump-0000,failure,2026-01-01T00:01:26+00:00,86,3.8527,73.4268,2.0987,DEGRADATION
pump,pump-0000,failure,2026-01-01T00:01:27+00:00,87,3.7435,76.1621,2.4793,FAILURE
pump,pump-0000,failure,2026-01-01T00:01:28+00:00,88,3.8905,73.2121,2.5865,FAILURE
pump,pump-0000,failure,2026-01-01T00:01:29+00:00,89,3.6881,69.4862,2.4323,FAILURE
pump,pump-0000,failure,2026-01-01T00:01:30+00:00,90,3.8103,72.6784,2.2149,FAILURE
pump,pump-0000,failure,2026-01-01T00:01:31+00:00,91,3.832,70.9563,2.4065,FAILURE
pump,pump-0000,failure,2026-01-01T00:01:32+00:00,92,3.9467,70.7368,2.1333,FAILURE
pump,pump-0000,failure,2026-01-01T00:01:33+00:00,93,3.8611,75.1074,2.2763,FAILURE
pump,pump-0000,failure,2026-01-01T00:01:34+00:00,94,3.7992,78.3128,2.5626,FAILURE
pump,pump-0000,failure,2026-01-01T00:01:35+00:00,95,3.8526,79.7635,3.061,FAILURE
pump,pump-0000,failure,2026-01-01T00:01:36+00:00,96,3.7125,79.4869,3.2476,FAILURE
pump,pump-0000,failure,2026-01-01T00:01:37+00:00,97,3.7216,80.7612,3.3461,FAILURE
pump,pump-0000,failure,2026-01-01T00:01:38+00:00,98,3.642,78.2789,3.3539,FAILURE
pump,pump-0000,failure,2026-01-01T00:01:39+00:00,99,3.4814,80.013,3.2067,FAILURE
pump,pump-0000,failure,2026-01-01T00:01:40+00:00,100,3.5536,75.4471,2.9663,FAILURE
pump,pump-0000,failure,2026-01-01T00:01:41+00:00,101,3.6495,76.2425,3.1909,FAILURE
pump,pump-0000,failure,2026-01-01T00:01:42+00:00,102,3.7666,77.6333,2.7971,FAILURE
pump,pump-0000,failure,2026-01-01T00:01:43+00:00,103,3.6468,82.9756,2.7251,FAILURE
pump,pump-0000,failure,2026-01-01T00:01:44+00:00,104,3.7176,80.6975,2.7968,FAILURE
pump,pump-0000,failure,2026-01-01T00:01:45+00:00,105,3.6492,81.124,2.9127,FAILURE
pump,pump-0000,failure,2026-01-01T00:01:46+00:00,106,4.0059,79.9821,2.7538,FAILURE
pump,pump-0000,failure,2026-01-01T00:01:47+00:00,107,3.7488,81.8654,2.946,FAILURE
pump,pump-0000,failure,2026-01-01T00:01:48+00:00,108,3.912,83.8885,3.2869,FAILURE
pump,pump-0000,failure,2026-01-01T00:01:49+00:00,109,3.6387,86.0225,3.33,FAILURE
pump,pump-0000,failure,2026-01-01T00:01:50+00:00,110,3.8302,85.0065,3.3878,FAILURE
pump,pump-0000,failure,2026-01-01T00:01:51+00:00,111,3.6629,88.5692,3.0732,FAILURE
pump,pump-0000,failure,2026-01-01T00:01:52+00:00,112,3.7553,84.9801,3.189,FAILURE
pump,pump-0000,failure,2026-01-01T00:01:53+00:00,113,3.4294,82.721,3.0347,FAILURE
pump,pump-0000,failure,2026-01-01T00:01:54+00:00,114,3.4208,82.473,2.8229,FAILURE
pump,pump-0000,failure,2026-01-01T00:01:55+00:00,115,3.4124,77.0594,2.9932,FAILURE
pump,pump-0000,failure,2026-01-01T00:01:56+00:00,116,3.3225,75.6186,3.1502,FAILURE
pump,pump-0000,failure,2026-01-01T00:01:57+00:00,117,3.5724,76.5467,3.0515,FAILURE
pump,pump-0000,failure,2026-01-01T00:01:58+00:00,118,3.4288,75.8352,3.2778,FAILURE
pump,pump-0000,failure,2026-01-01T00:01:59+00:00,119,3.3167,75.1889,3.1894,FAILURE
pump,pump-0000,failure,2026-01-01T00:02:00+00:00,120,3.6584,65.8228,3.2916,FAILURE
pump,pump-0000,failure,2026-01-01T00:02:01+00:00,121,3.6947,72.7592,3.2559,FAILURE
pump,pump-0000,failure,2026-01-01T00:02:02+00:00,122,3.5477,70.6456,3.1377,FAILURE
pump,pump-0000,failure,2026-01-01T00:02:03+00:00,123,3.2401,72.136,3.1729,FAILURE
pump,pump-0000,failure,2026-01-01T00:02:04+00:00,124,3.3249,70.6278,3.3876,FAILURE
pump,pump-0000,failure,2026-01-01T00:02:05+00:00,125,3.1399,63.8179,2.6902,FAILURE
pump,pump-0000,failure,2026-01-01T00:02:06+00:00,126,2.9769,63.2111,2.8259,FAILURE
pump,pump-0000,failure,2026-01-01T00:02:07+00:00,127,2.7432,65.46,2.7086,FAILURE
pump,pump-0000,failure,2026-01-01T00:02:08+00:00,128,2.5623,68.095,2.6284,FAILURE
pump,pump-0000,failure,2026-01-01T00:02:09+00:00,129,2.7415,67.146,2.7734,FAILURE
pump,pump-0000,failure,2026-01-01T00:02:10+00:00,130,2.9906,65.7471,2.9608,FAILURE
pump,pump-0000,failure,2026-01-01T00:02:11+00:00,131,3.0606,66.8611,3.279,FAILURE
pump,pump-0000,failure,2026-01-01T00:02:12+00:00,132,2.9357,65.9393,3.6999,FAILURE
pump,pump-0000,failure,2026-01-01T00:02:13+00:00,133,3.3906,67.2465,3.0918,FAILURE
pump,pump-0000,failure,2026-01-01T00:02:14+00:00,134,3.2653,71.3263,3.456,FAILURE
pump,pump-0000,failure,2026-01-01T00:02:15+00:00,135,3.4542,72.0427,3.6487,FAILURE
pump,pump-0000,failure,2026-01-01T00:02:16+00:00,136,3.4987,73.8295,3.809,FAILURE
pump,pump-0000,failure,2026-01-01T00:02:17+00:00,137,3.317,71.6825,3.6278,FAILURE
pump,pump-0000,failure,2026-01-01T00:02:18+00:00,138,3.399,68.2582,3.3893,FAILURE
pump,pump-0000,failure,2026-01-01T00:02:19+00:00,139,3.4803,70.2485,3.3039,FAILURE
pump,pump-0000,failure,2026-01-01T00:02:20+00:00,140,3.5317,67.4547,3.3455,FAILURE
pump,pump-0000,failure,2026-01-01T00:02:21+00:00,141,3.6012,62.6821,3.5229,FAILURE
pump,pump-0000,failure,2026-01-01T00:02:22+00:00,142,3.2879,64.3092,3.3095,FAILURE
pump,pump-0000,failure,2026-01-01T00:02:23+00:00,143,3.3358,67.1977,3.6729,FAILURE
pump,pump-0000,failure,2026-01-01T00:02:24+00:00,144,3.1531,68.5164,3.2357,FAILURE
pump,pump-0000,failure,2026-01-01T00:02:25+00:00,145,3.1499,69.3521,3.5347,FAILURE
pump,pump-0000,failure,2026-01-01T00:02:26+00:00,146,3.358,70.8916,3.6273,FAILURE
pump,pump-0000,failure,2026-01-01T00:02:27+00:00,147,3.4741,72.2272,3.7879,FAILURE
pump,pump-0000,failure,2026-01-01T00:02:28+00:00,148,3.2891,69.743,4.1038,FAILURE
pump,pump-0000,failure,2026-01-01T00:02:29+00:00,149,3.2321,69.8432,3.8501,FAILURE
pump,pump-0000,failure,2026-01-01T00:02:30+00:00,150,3.5077,77.3451,3.6911,FAILURE
pump,pump-0000,failure,2026-01-01T00:02:31+00:00,151,3.3724,74.5119,3.3253,FAILURE
pump,pump-0000,failure,2026-01-01T00:02:32+00:00,152,3.6598,70.3976,3.4227,FAILURE
pump,pump-0000,failure,2026-01-01T00:02:33+00:00,153,3.7235,74.4337,3.6024,FAILURE
pump,pump-0000,failure,2026-01-01T00:02:34+00:00,154,3.5524,72.9997,3.6547,FAILURE
pump,pump-0000,failure,2026-01-01T00:02:35+00:00,155,3.3281,66.0389,3.8587,FAILURE
pump,pump-0000,failure,2026-01-01T00:02:36+00:00,156,3.0794,61.2836,3.8787,FAILURE
pump,pump-0000,failure,2026-01-01T00:02:37+00:00,157,3.1663,62.8873,4.0567,FAILURE
pump,pump-0000,failure,2026-01-01T00:02:38+00:00,158,3.0961,63.214,4.4242,FAILURE
pump,pump-0000,failure,2026-01-01T00:02:39+00:00,159,3.0325,60.6582,4.073,FAILURE
pump,pump-0000,failure,2026-01-01T00:02:40+00:00,160,2.9009,59.2445,3.6556,FAILURE
pump,pump-0000,failure,2026-01-01T00:02:41+00:00,161,3.0331,58.527,3.3971,FAILURE
pump,pump-0000,failure,2026-01-01T00:02:42+00:00,162,2.9547,54.6245,3.614,FAILURE
pump,pump-0000,failure,2026-01-01T00:02:43+00:00,163,2.9898,54.3671,3.9728,FAILURE
pump,pump-0000,failure,2026-01-01T00:02:44+00:00,164,2.8843,53.1897,4.1378,FAILURE
pump,pump-0000,failure,2026-01-01T00:02:45+00:00,165,2.6886,51.4676,3.6718,FAILURE
pump,pump-0000,failure,2026-01-01T00:02:46+00:00,166,2.6795,54.4206,4.0447,FAILURE
pump,pump-0000,failure,2026-01-01T00:02:47+00:00,167,2.7392,56.1526,4.0571,FAILURE
pump,pump-0000,failure,2026-01-01T00:02:48+00:00,168,2.947,59.6045,3.8257,FAILURE
pump,pump-0000,failure,2026-01-01T00:02:49+00:00,169,2.9521,61.7849,3.9748,FAILURE
pump,pump-0000,failure,2026-01-01T00:02:50+00:00,170,2.8277,64.8273,4.3843,FAILURE
pump,pump-0000,failure,2026-01-01T00:02:51+00:00,171,2.6681,61.5252,4.1446,FAILURE
pump,pump-0000,failure,2026-01-01T00:02:52+00:00,172,2.8668,59.4987,4.2379,FAILURE
pump,pump-0000,failure,2026-01-01T00:02:53+00:00,173,2.8879,53.6337,4.5401,FAILURE
pump,pump-0000,failure,2026-01-01T00:02:54+00:00,174,2.8634,59.6033,4.2415,FAILURE
pump,pump-0000,failure,2026-01-01T00:02:55+00:00,175,2.7952,61.9726,4.3138,FAILURE
pump,pump-0000,failure,2026-01-01T00:02:56+00:00,176,3.1785,61.7192,4.1793,FAILURE
pump,pump-0000,failure,2026-01-01T00:02:57+00:00,177,3.5738,66.2871,3.8582,FAILURE
pump,pump-0000,failure,2026-01-01T00:02:58+00:00,178,3.781,65.2513,3.5034,FAILURE
pump,pump-0000,failure,2026-01-01T00:02:59+00:00,179,3.7897,60.5126,3.8063,FAILURE
pump,pump-0000,failure,2026-01-01T00:03:00+00:00,180,3.5257,61.9141,3.5149,FAILURE
pump,pump-0000,failure,2026-01-01T00:03:01+00:00,181,3.1244,66.2864,3.5942,FAILURE
pump,pump-0000,failure,2026-01-01T00:03:02+00:00,182,3.2412,66.0359,3.8559,FAILURE
pump,pump-0000,failure,2026-01-01T00:03:03+00:00,183,3.0627,60.1,4.2098,FAILURE
pump,pump-0000,failure,2026-01-01T00:03:04+00:00,184,3.1334,58.7937,4.4484,FAILURE
pump,pump-0000,failure,2026-01-01T00:03:05+00:00,185,3.1975,61.5128,3.8179,FAILURE
pump,pump-0000,failure,2026-01-01T00:03:06+00:00,186,3.2572,61.5298,4.3326,FAILURE
pump,pump-0000,failure,2026-01-01T00:03:07+00:00,187,3.4151,59.5505,4.2659,FAILURE
pump,pump-0000,failure,2026-01-01T00:03:08+00:00,188,3.2266,59.2319,4.4302,FAILURE
pump,pump-0000,failure,2026-01-01T00:03:09+00:00,189,3.2211,58.4124,4.0789,FAILURE
pump,pump-0000,failure,2026-01-01T00:03:10+00:00,190,2.9074,62.3951,4.3015,FAILURE
pump,pump-0000,failure,2026-01-01T00:03:11+00:00,191,2.6761,54.658,3.7385,FAILURE
pump,pump-0000,failure,2026-01-01T00:03:12+00:00,192,2.5026,52.2152,3.9321,FAILURE
pump,pump-0000,failure,2026-01-01T00:03:13+00:00,193,2.5359,50.1354,3.9136,FAILURE
pump,pump-0000,failure,2026-01-01T00:03:14+00:00,194,2.5269,52.0024,4.5897,FAILURE
pump,pump-0000,failure,2026-01-01T00:03:15+00:00,195,2.6045,55.108,4.4098,FAILURE
pump,pump-0000,failure,2026-01-01T00:03:16+00:00,196,2.5102,55.6719,4.5162,FAILURE
pump,pump-0000,failure,2026-01-01T00:03:17+00:00,197,2.2805,56.4426,4.5865,FAILURE
pump,pump-0000,failure,2026-01-01T00:03:18+00:00,198,2.2487,52.2157,4.3602,FAILURE
pump,pump-0000,failure,2026-01-01T00:03:19+00:00,199,2.3256,54.4591,4.3613,FAILURE
pump,pump-0000,failure,2026-01-01T00:03:20+00:00,200,2.3058,54.306,4.5061,FAILURE
pump,pump-0000,failure,2026-01-01T00:03:21+00:00,201,2.3552,57.2074,4.4258,FAILURE
pump,pump-0000,failure,2026-01-01T00:03:22+00:00,202,2.2846,57.9339,4.628,FAILURE
pump,pump-0000,failure,2026-01-01T00:03:23+00:00,203,2.475,53.2795,4.3296,FAILURE
pump,pump-0000,failure,2026-01-01T00:03:24+00:00,204,2.3756,58.0892,4.5249,FAILURE
pump,pump-0000,failure,2026-01-01T00:03:25+00:00,205,2.3696,57.0851,4.6532,FAILURE
pump,pump-0000,failure,2026-01-01T00:03:26+00:00,206,2.6581,59.3394,4.293,FAILURE
pump,pump-0000,failure,2026-01-01T00:03:27+00:00,207,2.9932,61.2594,4.4889,FAILURE
pump,pump-0000,failure,2026-01-01T00:03:28+00:00,208,2.9801,57.1587,4.8617,FAILURE
pump,pump-0000,failure,2026-01-01T00:03:29+00:00,209,3.0276,57.9106,5.3798,FAILURE
pump,pump-0000,failure,2026-01-01T00:03:30+00:00,210,3.0238,58.7221,5.3053,FAILURE
pump,pump-0000,failure,2026-01-01T00:03:31+00:00,211,3.2459,60.9652,5.0614,FAILURE
pump,pump-0000,failure,2026-01-01T00:03:32+00:00,212,3.2632,57.0292,5.0541,FAILURE
pump,pump-0000,failure,2026-01-01T00:03:33+00:00,213,3.0742,50.9148,5.1513,FAILURE
pump,pump-0000,failure,2026-01-01T00:03:34+00:00,214,2.7665,52.6126,5.2019,FAILURE
pump,pump-0000,failure,2026-01-01T00:03:35+00:00,215,2.5632,52.1789,5.142,FAILURE
pump,pump-0000,failure,2026-01-01T00:03:36+00:00,216,2.8267,49.8991,4.9252,FAILURE
pump,pump-0001,failure,2026-01-01T00:03:37+00:00,0,4.6055,91.2346,1.6713,NORMAL
pump,pump-0001,failure,2026-01-01T00:03:38+00:00,1,4.4282,87.0298,1.6902,NORMAL
pump,pump-0001,failure,2026-01-01T00:03:39+00:00,2,4.516,90.6583,1.7469,NORMAL
pump,pump-0001,failure,2026-01-01T00:03:40+00:00,3,4.5697,90.9876,1.6215,NORMAL
pump,pump-0001,failure,2026-01-01T00:03:41+00:00,4,4.6811,91.5667,1.7236,NORMAL
pump,pump-0001,failure,2026-01-01T00:03:42+00:00,5,4.6395,91.6154,1.7263,NORMAL
pump,pump-0001,failure,2026-01-01T00:03:43+00:00,6,4.6649,93.2561,1.562,NORMAL
pump,pump-0001,failure,2026-01-01T00:03:44+00:00,7,4.6534,93.3699,1.6284,NORMAL
pump,pump-0001,failure,2026-01-01T00:03:45+00:00,8,4.6417,93.5446,1.7243,NORMAL
pump,pump-0001,failure,2026-01-01T00:03:46+00:00,9,4.692,92.5418,1.8156,NORMAL
pump,pump-0001,failure,2026-01-01T00:03:47+00:00,10,4.7488,92.2886,1.7792,NORMAL
pump,pump-0001,failure,2026-01-01T00:03:48+00:00,11,4.9016,91.7462,1.6237,NORMAL
pump,pump-0001,failure,2026-01-01T00:03:49+00:00,12,4.7627,89.5282,1.5727,NORMAL
pump,pump-0001,failure,2026-01-01T00:03:50+00:00,13,4.7327,87.8172,1.3207,NORMAL
pump,pump-0001,failure,2026-01-01T00:03:51+00:00,14,4.6869,86.6159,1.3595,NORMAL
pump,pump-0001,failure,2026-01-01T00:03:52+00:00,15,4.7207,86.4106,1.2801,NORMAL
pump,pump-0001,failure,2026-01-01T00:03:53+00:00,16,4.8031,88.5026,1.2564,NORMAL
pump,pump-0001,failure,2026-01-01T00:03:54+00:00,17,4.7049,88.6272,1.2105,NORMAL
pump,pump-0001,failure,2026-01-01T00:03:55+00:00,18,4.5466,89.6395,1.192,NORMAL
pump,pump-0001,failure,2026-01-01T00:03:56+00:00,19,4.3571,89.3467,1.0771,NORMAL
pump,pump-0001,failure,2026-01-01T00:03:57+00:00,20,4.4717,87.0702,1.3339,NORMAL
pump,pump-0001,failure,2026-01-01T00:03:58+00:00,21,4.4679,88.5544,1.1951,NORMAL
pump,pump-0001,failure,2026-01-01T00:03:59+00:00,22,4.3632,88.2576,1.2461,NORMAL
pump,pump-0001,failure,2026-01-01T00:04:00+00:00,23,4.3758,87.8495,1.4167,NORMAL
pump,pump-0001,failure,2026-01-01T00:04:01+00:00,24,4.4571,87.5892,1.5108,NORMAL
pump,pump-0001,failure,2026-01-01T00:04:02+00:00,25,4.4816,88.0251,1.5747,NORMAL
pump,pump-0001,failure,2026-01-01T00:04:03+00:00,26,4.3113,86.7612,1.5979,NORMAL
pump,pump-0001,failure,2026-01-01T00:04:04+00:00,27,4.4426,88.1077,1.7409,NORMAL
pump,pump-0001,failure,2026-01-01T00:04:05+00:00,28,4.4349,88.3342,1.655,NORMAL
pump,pump-0001,failure,2026-01-01T00:04:06+00:00,29,4.4278,87.8496,2.1021,DEGRADATION
pump,pump-0001,failure,2026-01-01T00:04:07+00:00,30,4.3541,88.1142,2.3343,DEGRADATION
pump,pump-0001,failure,2026-01-01T00:04:08+00:00,31,4.3429,87.909,1.9858,DEGRADATION
pump,pump-0001,failure,2026-01-01T00:04:09+00:00,32,4.3313,84.2187,1.9886,DEGRADATION
pump,pump-0001,failure,2026-01-01T00:04:10+00:00,33,4.2942,84.4603,1.9407,DEGRADATION
pump,pump-0001,failure,2026-01-01T00:04:11+00:00,34,4.3241,89.2012,1.977,DEGRADATION
pump,pump-0001,failure,2026-01-01T00:04:12+00:00,35,4.1757,87.613,2.1501,DEGRADATION
pump,pump-0001,failure,2026-01-01T00:04:13+00:00,36,4.0633,85.9533,2.131,DEGRADATION
pump,pump-0001,failure,2026-01-01T00:04:14+00:00,37,4.1906,86.8776,2.159,DEGRADATION
pump,pump-0001,failure,2026-01-01T00:04:15+00:00,38,4.3332,86.7774,2.0589,DEGRADATION
pump,pump-0001,failure,2026-01-01T00:04:16+00:00,39,4.3834,83.6427,1.9872,DEGRADATION
pump,pump-0001,failure,2026-01-01T00:04:17+00:00,40,4.2529,86.8839,1.9511,DEGRADATION
pump,pump-0001,failure,2026-01-01T00:04:18+00:00,41,4.0684,87.5882,2.0976,DEGRADATION
pump,pump-0001,failure,2026-01-01T00:04:19+00:00,42,4.1136,89.024,2.0224,DEGRADATION
pump,pump-0001,failure,2026-01-01T00:04:20+00:00,43,4.1108,87.7427,2.0674,DEGRADATION
pump,pump-0001,failure,2026-01-01T00:04:21+00:00,44,4.151,84.3606,1.9762,DEGRADATION
pump,pump-0001,failure,2026-01-01T00:04:22+00:00,45,4.1648,82.8512,2.0344,DEGRADATION
pump,pump-0001,failure,2026-01-01T00:04:23+00:00,46,4.1479,87.5617,1.8489,DEGRADATION
pump,pump-0001,failure,2026-01-01T00:04:24+00:00,47,4.1764,86.3867,1.9043,DEGRADATION
pump,pump-0001,failure,2026-01-01T00:04:25+00:00,48,4.0709,86.279,1.9575,DEGRADATION
