machine_type,session_id,scenario,timestamp,step,temperature,pressure,vibration,state
compressor,compressor-0000,degrading,2026-01-01T00:01:39+00:00,99,57.0763,7.6013,2.1235,DEGRADATION
compressor,compressor-0000,degrading,2026-01-01T00:01:40+00:00,100,57.5726,7.4777,2.3498,DEGRADATION
compressor,compressor-0000,degrading,2026-01-01T00:01:41+00:00,101,57.607,7.4643,2.2712,DEGRADATION
compressor,compressor-0000,degrading,2026-01-01T00:01:42+00:00,102,57.3336,7.3607,2.2446,DEGRADATION
compressor,compressor-0000,degrading,2026-01-01T00:01:43+00:00,103,57.064,7.502,2.087,DEGRADATION
compressor,compressor-0000,degrading,2026-01-01T00:01:44+00:00,104,58.697,7.5001,2.1723,DEGRADATION
compressor,compressor-0000,degrading,2026-01-01T00:01:45+00:00,105,58.7449,7.5921,2.1642,DEGRADATION
compressor,compressor-0000,degrading,2026-01-01T00:01:46+00:00,106,60.4979,7.3595,2.3127,DEGRADATION
compressor,compressor-0000,degrading,2026-01-01T00:01:47+00:00,107,59.541,7.2686,2.2761,DEGRADATION
compressor,compressor-0000,degrading,2026-01-01T00:01:48+00:00,108,59.8707,7.4733,2.3129,DEGRADATION
compressor,compressor-0000,degrading,2026-01-01T00:01:49+00:00,109,59.8149,7.3579,2.127,DEGRADATION
compressor,compressor-0000,degrading,2026-01-01T00:01:50+00:00,110,59.4352,7.3963,2.1372,DEGRADATION
compressor,compressor-0000,degrading,2026-01-01T00:01:51+00:00,111,58.1797,7.0269,2.2999,DEGRADATION
compressor,compressor-0000,degrading,2026-01-01T00:01:52+00:00,112,58.8228,7.0577,2.1432,DEGRADATION
compressor,compressor-0000,degrading,2026-01-01T00:01:53+00:00,113,57.4786,7.0505,2.202,DEGRADATION
compressor,compressor-0000,degrading,2026-01-01T00:01:54+00:00,114,56.3561,6.9683,2.2285,DEGRADATION
compressor,compressor-0000,degrading,2026-01-01T00:01:55+00:00,115,56.3778,7.1198,2.318,DEGRADATION
compressor,compressor-0000,degrading,2026-01-01T00:01:56+00:00,116,58.2472,7.4202,2.2001,DEGRADATION
compressor,compressor-0000,degrading,2026-01-01T00:01:57+00:00,117,56.9585,7.3893,2.5074,DEGRADATION
compressor,compressor-0000,degrading,2026-01-01T00:01:58+00:00,118,56.5576,7.2825,2.5261,DEGRADATION
compressor,compressor-0000,degrading,2026-01-01T00:01:59+00:00,119,57.4505,7.1677,2.291,DEGRADATION
compressor,compressor-0000,degrading,2026-01-01T00:02:00+00:00,120,56.3157,7.1264,2.3611,DEGRADATION
compressor,compressor-0000,degrading,2026-01-01T00:02:01+00:00,121,58.4245,7.0199,2.5565,DEGRADATION
compressor,compressor-0000,degrading,2026-01-01T00:02:02+00:00,122,58.3653,7.2333,2.5938,DEGRADATION
compressor,compressor-0000,degrading,2026-01-01T00:02:03+00:00,123,57.7986,7.1045,2.5601,DEGRADATION
compressor,compressor-0000,degrading,2026-01-01T00:02:04+00:00,124,57.6215,7.1559,2.4116,DEGRADATION
compressor,compressor-0000,degrading,2026-01-01T00:02:05+00:00,125,58.7293,7.0781,2.6058,DEGRADATION
compressor,compressor-0000,degrading,2026-01-01T00:02:06+00:00,126,59.9989,7.1931,2.4206,DEGRADATION
compressor,compressor-0000,degrading,2026-01-01T00:02:07+00:00,127,60.8067,7.4303,2.3395,DEGRADATION
compressor,compressor-0000,degrading,2026-01-01T00:02:08+00:00,128,60.5254,7.2865,2.5885,DEGRADATION
compressor,compressor-0000,degrading,2026-01-01T00:02:09+00:00,129,60.1697,7.2765,2.6018,DEGRADATION
compressor,compressor-0000,degrading,2026-01-01T00:02:10+00:00,130,61.2803,7.2168,2.3438,DEGRADATION
compressor,compressor-0000,degrading,2026-01-01T00:02:11+00:00,131,61.4519,7.4252,2.5181,DEGRADATION
compressor,compressor-0000,degrading,2026-01-01T00:02:12+00:00,132,61.7546,7.3938,2.5251,DEGRADATION
compressor,compressor-0000,degrading,2026-01-01T00:02:13+00:00,133,61.117,7.3635,2.6227,DEGRADATION
compressor,compressor-0000,degrading,2026-01-01T00:02:14+00:00,134,61.2914,7.1769,2.5268,DEGRADATION
compressor,compressor-0000,degrading,2026-01-01T00:02:15+00:00,135,60.2706,7.1875,2.5901,DEGRADATION
compressor,compressor-0000,degrading,2026-01-01T00:02:16+00:00,136,59.8862,7.2985,2.4768,DEGRADATION
compressor,compressor-0000,degrading,2026-01-01T00:02:17+00:00,137,61.3901,7.022,2.3087,DEGRADATION
compressor,compressor-0000,degrading,2026-01-01T00:02:18+00:00,138,60.8064,7.0199,2.1202,DEGRADATION
compressor,compressor-0000,degrading,2026-01-01T00:02:19+00:00,139,60.179,7.0152,2.0746,DEGRADATION
compressor,compressor-0000,degrading,2026-01-01T00:02:20+00:00,140,58.6339,7.1298,1.9947,DEGRADATION
compressor,compressor-0001,failure,2026-01-01T00:02:21+00:00,0,54.0032,8.2254,1.5135,NORMAL
compressor,compressor-0001,failure,2026-01-01T00:02:22+00:00,1,54.4661,8.2182,1.5572,NORMAL
compressor,compressor-0001,failure,2026-01-01T00:02:23+00:00,2,55.0097,8.2441,1.6126,NORMAL
compressor,compressor-0001,failure,2026-01-01T00:02:24+00:00,3,55.0751,8.4921,1.5275,NORMAL
compressor,compressor-0001,failure,2026-01-01T00:02:25+00:00,4,55.5734,8.3042,1.6194,NORMAL
compressor,compressor-0001,failure,2026-01-01T00:02:26+00:00,5,54.848,8.3841,1.6776,NORMAL
compressor,compressor-0001,failure,2026-01-01T00:02:27+00:00,6,54.9914,8.2751,1.5984,NORMAL
compressor,compressor-0001,failure,2026-01-01T00:02:28+00:00,7,54.7464,8.0904,1.3077,NORMAL
compressor,compressor-0001,failure,2026-01-01T00:02:29+00:00,8,53.9318,8.1099,1.2873,NORMAL
compressor,compressor-0001,failure,2026-01-01T00:02:30+00:00,9,53.9126,8.1561,1.3621,NORMAL
compressor,compressor-0001,failure,2026-01-01T00:02:31+00:00,10,53.8661,8.3676,1.4081,NORMAL
compressor,compressor-0001,failure,2026-01-01T00:02:32+00:00,11,54.1322,8.2997,1.3621,NORMAL
compressor,compressor-0001,failure,2026-01-01T00:02:33+00:00,12,54.7475,8.4485,1.3568,NORMAL
compressor,compressor-0001,failure,2026-01-01T00:02:34+00:00,13,54.7443,8.3188,1.3576,NORMAL
compressor,compressor-0001,failure,2026-01-01T00:02:35+00:00,14,55.7897,8.1931,1.3906,NORMAL
compressor,compressor-0001,failure,2026-01-01T00:02:36+00:00,15,55.024,8.1117,1.3083,NORMAL
compressor,compressor-0001,failure,2026-01-01T00:02:37+00:00,16,55.4594,8.2452,1.1962,NORMAL
compressor,compressor-0001,failure,2026-01-01T00:02:38+00:00,17,54.7719,8.1338,1.1494,NORMAL
compressor,compressor-0001,failure,2026-01-01T00:02:39+00:00,18,53.2745,8.1045,1.0521,NORMAL
compressor,compressor-0001,failure,2026-01-01T00:02:40+00:00,19,53.5601,8.1878,1.1286,NORMAL
compressor,compressor-0001,failure,2026-01-01T00:02:41+00:00,20,54.0277,8.2981,1.1236,NORMAL
compressor,compressor-0001,failure,2026-01-01T00:02:42+00:00,21,51.6957,8.2334,1.1833,NORMAL
compressor,compressor-0001,failure,2026-01-01T00:02:43+00:00,22,49.5071,8.2717,1.3165,NORMAL
compressor,compressor-0001,failure,2026-01-01T00:02:44+00:00,23,51.4595,8.258,1.3128,NORMAL
compressor,compressor-0001,failure,2026-01-01T00:02:45+00:00,24,52.1729,8.3566,1.2467,NORMAL
compressor,compressor-0001,failure,2026-01-01T00:02:46+00:00,25,51.4429,8.3543,1.3541,NORMAL
compressor,compressor-0001,failure,2026-01-01T00:02:47+00:00,26,50.4179,8.2894,1.4545,NORMAL
compressor,compressor-0001,failure,2026-01-01T00:02:48+00:00,27,49.7131,8.1995,1.3548,NORMAL
compressor,compressor-0001,failure,2026-01-01T00:02:49+00:00,28,51.8058,7.9941,1.4895,DEGRADATION
compressor,compressor-0001,failure,2026-01-01T00:02:50+00:00,29,52.6024,8.1059,1.6602,DEGRADATION
compressor,compressor-0001,failure,2026-01-01T00:02:51+00:00,30,53.7224,8.0149,1.781,DEGRADATION
compressor,compressor-0001,failure,2026-01-01T00:02:52+00:00,31,55.281,8.0973,2.0136,DEGRADATION
compressor,compressor-0001,failure,2026-01-01T00:02:53+00:00,32,56.4363,7.9266,1.8707,DEGRADATION
compressor,compressor-0001,failure,2026-01-01T00:02:54+00:00,33,57.2903,8.1799,1.9524,DEGRADATION
compressor,compressor-0001,failure,2026-01-01T00:02:55+00:00,34,56.3379,8.2748,2.012,DEGRADATION
compressor,compressor-0001,failure,2026-01-01T00:02:56+00:00,35,57.1916,8.044,1.9253,DEGRADATION
compressor,compressor-0001,failure,2026-01-01T00:02:57+00:00,36,57.3735,8.015,1.7475,DEGRADATION
compressor,compressor-0001,failure,2026-01-01T00:02:58+00:00,37,56.4139,8.1672,1.7578,DEGRADATION
compressor,compressor-0001,failure,2026-01-01T00:02:59+00:00,38,55.2614,8.2868,1.8978,DEGRADATION
compressor,compressor-0001,failure,2026-01-01T00:03:00+00:00,39,55.904,8.1615,1.943,DEGRADATION
compressor,compressor-0001,failure,2026-01-01T00:03:01+00:00,40,55.3468,8.0385,1.9551,DEGRADATION
compressor,compressor-0001,failure,2026-01-01T00:03:02+00:00,41,55.09,7.8893,2.0158,DEGRADATION
compressor,compressor-0001,failure,2026-01-01T00:03:03+00:00,42,57.2462,8.0438,1.8618,DEGRADATION
compressor,compressor-0001,failure,2026-01-01T00:03:04+00:00,43,55.4146,7.7851,1.8255,DEGRADATION
compressor,compressor-0001,failure,2026-01-01T00:03:05+00:00,44,55.5308,7.7101,2.0064,DEGRADATION
compressor,compressor-0001,failure,2026-01-01T00:03:06+00:00,45,55.8262,7.7121,1.7774,DEGRADATION
compressor,compressor-0001,failure,2026-01-01T00:03:07+00:00,46,55.685,7.7752,1.7997,DEGRADATION
compressor,compressor-0001,failure,2026-01-01T00:03:08+00:00,47,55.8258,7.563,1.7242,DEGRADATION
compressor,compressor-0001,failure,2026-01-01T00:03:09+00:00,48,54.7769,7.3589,1.5994,DEGRADATION
compressor,compressor-0001,failure,2026-01-01T00:03:10+00:00,49,55.5063,7.4848,1.6045,DEGRADATION
compressor,compressor-0001,failure,2026-01-01T00:03:11+00:00,50,56.0646,7.5519,1.7648,DEGRADATION
compressor,compressor-0001,failure,2026-01-01T00:03:12+00:00,51,55.0827,7.6381,1.9283,DEGRADATION
compressor,compressor-0001,failure,2026-01-01T00:03:13+00:00,52,54.8041,7.5767,1.8293,DEGRADATION
compressor,compressor-0001,failure,2026-01-01T00:03:14+00:00,53,54.3386,7.1354,1.7246,DEGRADATION
compressor,compressor-0001,failure,2026-01-01T00:03:15+00:00,54,54.7782,6.9749,1.824,DEGRADATION
compressor,compressor-0001,failure,2026-01-01T00:03:16+00:00,55,56.4803,6.9758,1.905,DEGRADATION
compressor,compressor-0001,failure,2026-01-01T00:03:17+00:00,56,56.6775,6.9683,1.9288,DEGRADATION
compressor,compressor-0001,failure,2026-01-01T00:03:18+00:00,57,57.0221,7.0308,1.9639,DEGRADATION
compressor,compressor-0001,failure,2026-01-01T00:03:19+00:00,58,55.1387,7.2484,2.0731,DEGRADATION
compressor,compressor-0001,failure,2026-01-01T00:03:20+00:00,59,55.2388,7.1785,2.1305,DEGRADATION
compressor,compressor-0001,failure,2026-01-01T00:03:21+00:00,60,56.7653,6.9233,2.1982,DEGRADATION
compressor,compressor-0001,failure,2026-01-01T00:03:22+00:00,61,57.1018,6.8532,2.2273,DEGRADATION
compressor,compressor-0001,failure,2026-01-01T00:03:23+00:00,62,58.9675,6.9982,2.5551,DEGRADATION
compressor,compressor-0001,failure,2026-01-01T00:03:24+00:00,63,58.7466,7.2571,2.2296,DEGRADATION
compressor,compressor-0001,failure,2026-01-01T00:03:25+00:00,64,58.8582,7.2067,2.263,DEGRADATION
compressor,compressor-0001,failure,2026-01-01T00:03:26+00:00,65,58.6769,7.15,2.4487,DEGRADATION
compressor,compressor-0001,failure,2026-01-01T00:03:27+00:00,66,59.2207,7.2455,2.4983,DEGRADATION
compressor,compressor-0001,failure,2026-01-01T00:03:28+00:00,67,59.3909,7.237,2.374,DEGRADATION
compressor,compressor-0001,failure,2026-01-01T00:03:29+00:00,68,59.6019,7.092,2.4517,DEGRADATION
compressor,compressor-0001,failure,2026-01-01T00:03:30+00:00,69,59.8625,7.1423,2.5064,DEGRADATION
compressor,compressor-0001,failure,2026-01-01T00:03:31+00:00,70,61.6768,6.9854,2.5225,DEGRADATION
compressor,compressor-0001,failure,2026-01-01T00:03:32+00:00,71,63.3934,7.1622,2.49,DEGRADATION
compressor,compressor-0001,failure,2026-01-01T00:03:33+00:00,72,62.6242,7.212,2.5232,DEGRADATION
compressor,compressor-0001,failure,2026-01-01T00:03:34+00:00,73,62.206,7.0565,2.334,DEGRADATION
compressor,compressor-0001,failure,2026-01-01T00:03:35+00:00,74,62.2333,7.165,2.3581,DEGRADATION
compressor,compressor-0001,failure,2026-01-01T00:03:36+00:00,75,61.5555,7.2568,2.0225,DEGRADATION
compressor,compressor-0001,failure,2026-01-01T00:03:37+00:00,76,59.2136,6.897,2.4756,FAILURE
compressor,compressor-0001,failure,2026-01-01T00:03:38+00:00,77,59.8744,7.3101,2.5093,FAILURE
compressor,compressor-0001,failure,2026-01-01T00:03:39+00:00,78,61.2302,7.2551,2.4381,FAILURE
compressor,compressor-0001,failure,2026-01-01T00:03:40+00:00,79,61.1722,6.9969,2.6864,FAILURE
compressor,compressor-0001,failure,2026-01-01T00:03:41+00:00,80,62.7835,6.8695,2.6543,FAILURE
compressor,compressor-0001,failure,2026-01-01T00:03:42+00:00,81,63.1328,6.9961,2.5158,FAILURE
compressor,compressor-0001,failure,2026-01-01T00:03:43+00:00,82,61.8878,7.1468,2.6328,FAILURE
compressor,compressor-0001,failure,2026-01-01T00:03:44+00:00,83,60.0033,7.2868,2.3341,FAILURE
compressor,compressor-0001,failure,2026-01-01T00:03:45+00:00,84,57.7357,7.264,2.5015,FAILURE
compressor,compressor-0001,failure,2026-01-01T00:03:46+00:00,85,56.4829,7.2226,3.0167,FAILURE
compressor,compressor-0001,failure,2026-01-01T00:03:47+00:00,86,55.1951,7.1469,3.1852,FAILURE
compressor,compressor-0001,failure,2026-01-01T00:03:48+00:00,87,53.1142,7.2744,2.6871,FAILURE
compressor,compressor-0001,failure,2026-01-01T00:03:49+00:00,88,55.2468,7.3323,2.6987,FAILURE
compressor,compressor-0001,failure,2026-01-01T00:03:50+00:00,89,57.8594,6.8787,2.5963,FAILURE
compressor,compressor-0001,failure,2026-01-01T00:03:51+00:00,90,56.8185,6.9384,2.5569,FAILURE
compressor,compressor-0001,failure,2026-01-01T00:03:52+00:00,91,59.0452,7.1131,2.4861,FAILURE
compressor,compressor-0001,failure,2026-01-01T00:03:53+00:00,92,60.0296,6.755,2.8909,FAILURE
compressor,compressor-0001,failure,2026-01-01T00:03:54+00:00,93,62.5839,6.8279,3.0734,FAILURE
compressor,compressor-0001,failure,2026-01-01T00:03:55+00:00,94,60.6598,7.2245,3.0756,FAILURE
compressor,compressor-0001,failure,2026-01-01T00:03:56+00:00,95,61.7812,7.4249,3.1467,FAILURE
compressor,compressor-0001,failure,2026-01-01T00:03:57+00:00,96,62.0818,7.2651,3.2213,FAILURE
compressor,compressor-0001,failure,2026-01-01T00:03:58+00:00,97,63.5676,6.9134,3.2925,FAILURE
compressor,compressor-0001,failure,2026-01-01T00:03:59+00:00,98,63.6543,6.9185,3.2809,FAILURE
compressor,compressor-0001,failure,2026-01-01T00:04:00+00:00,99,65.152,6.9085,3.0435,FAILURE
compressor,compressor-0001,failure,2026-01-01T00:04:01+00:00,100,63.6991,6.7177,2.276,FAILURE
compressor,compressor-0001,failure,2026-01-01T00:04:02+00:00,101,64.193,6.9401,2.4499,FAILURE
compressor,compressor-0001,failure,2026-01-01T00:04:03+00:00,102,62.2722,6.87,2.6359,FAILURE
compressor,compressor-0001,failure,2026-01-01T00:04:04+00:00,103,61.5651,6.9323,3.1484,FAILURE
compressor,compressor-0001,failure,2026-01-01T00:04:05+00:00,104,65.4553,6.6632,3.5676,FAILURE
compressor,compressor-0001,failure,2026-01-01T00:04:06+00:00,105,65.9811,6.8742,3.5501,FAILURE
compressor,compressor-0001,failure,2026-01-01T00:04:07+00:00,106,66.8175,6.2962,3.2615,FAILURE
compressor,compressor-0001,failure,2026-01-01T00:04:08+00:00,107,66.049,6.5274,3.6395,FAILURE
compressor,compressor-0001,failure,2026-01-01T00:04:09+00:00,108,63.6549,6.5768,3.399,FAILURE
compressor,compressor-0001,failure,2026-01-01T00:04:10+00:00,109,61.7786,6.1952,2.9081,FAILURE
